Factor,Beta,t-Stat,p-Value,Significant,Ann. Alpha,Model,Strategy
Alpha,0.00018555402088257168,1.3618171234327037,0.17341637094422252,,0.046759613262408066,MAT,conviction
MKT,0.09606427246065223,6.517484080745754,9.124184095681478e-11,✅,,MAT,conviction
SMB,0.3232802785103006,3.926289270226013,8.933111504523026e-05,✅,,MAT,conviction
HML,0.028698498649791845,0.33005853132669366,0.741391969959396,,,MAT,conviction
UMD,0.1505737491742304,4.075552507845895,4.7787629468123006e-05,✅,,MAT,conviction
QMJ,0.14362407788471324,1.1514106853143382,0.24970758171558008,,,MAT,conviction
BAB,0.169665485318072,2.6457684031424016,0.008217496586390274,✅,,MAT,conviction
Alpha,0.00011868579184956666,0.880671576042217,0.3786065202707716,,0.0299088195460908,Canonical,smart_decay
MKT,0.05323342366795907,3.651483196808922,0.0002677552288390116,✅,,Canonical,smart_decay
SMB,0.05543203908668634,0.6806608365678993,0.4961687110212091,,,Canonical,smart_decay
HML,-0.2092701082648235,-2.433356899740113,0.015050829147873052,✅,,Canonical,smart_decay
UMD,0.06935433532547175,1.8979189827072749,0.05785755768659505,,,Canonical,smart_decay
QMJ,-0.13394144220334936,-1.0856374091903487,0.2777765855123244,,,Canonical,smart_decay
BAB,0.30204814578548494,4.762130833678496,2.0599786198887496e-06,✅,,Canonical,smart_decay
