horizon,MAE_Canonical,MAE_MAT,IC_Canonical,IC_MAT
1,0.7599737644195557,0.7612264752388,0.01074136813488745,0.0110134097354566
2,0.7591842412948608,0.7591421008110046,0.008003517734660643,0.006190022980668903
3,0.7581871151924133,0.7579554915428162,0.007959494661572614,0.008022718352001412
4,0.7577047944068909,0.7575408816337585,0.0070293062692569725,0.006116372246661145
5,0.757075846195221,0.7568159103393555,0.0049337517137491484,0.005957802505334457
6,0.7565510869026184,0.7562367916107178,0.004018011024274959,0.006159055956006799
7,0.7550802230834961,0.7547191977500916,0.005465993501008103,0.007274046109537484
8,0.7539740800857544,0.7535498142242432,0.007575438258649011,0.008877826772250649
9,0.7530494928359985,0.7525762915611267,0.005554356966321717,0.005806765532405649
10,0.7523660063743591,0.7517633438110352,0.004869392304896951,0.004585351043457331
