Model,Horizon,IC_Mean,IC_IR,Hit_Rate,MAE,DM_P_Zero,IC_Std,t_stat,p_value,Precision_Top_20%,MSE,RMSE,R2,DM_Stat_Zero
MAT,1,0.01474827291875591,0.07908744040067463,0.5020429413133337,0.7612264752388,0.0,0.18648059369414952,3.4609227977879056,0.0005501391568523907,0.5109254551688178,1.1582083702087402,1.0762008967700873,-0.018202781677246094,57.85047598837561
MAT,2,0.005702908771736752,0.03219511768157205,0.5020629061598463,0.7591421008110046,0.0,0.17713582524986032,1.408881311983748,0.15903269753881097,0.5078984202385072,1.1535162925720215,1.0740187580168334,-0.01515209674835205,49.48275779361458
MAT,3,0.008143945427868813,0.04647114062057633,0.502728657003169,0.7579554915428162,0.0,0.1752473744488149,2.0336102578794755,0.04212859384979235,0.5081383696387514,1.1494414806365967,1.0721200868543583,-0.014024972915649414,46.139907000146835
MAT,4,0.007435960771891093,0.04265896557649971,0.5029782175845761,0.7575408816337585,0.0,0.17431179187637183,1.866786759073923,0.062084162418701086,0.5094132676048818,1.1490907669067383,1.0719565135334261,-0.014144420623779297,44.08697868056364
MAT,5,0.006823080105234072,0.03925148792040531,0.503293815735217,0.7568159103393555,0.0,0.1738298451212478,1.7176731065718553,0.0860180074218946,0.5091088573550171,1.147603154182434,1.07126241144849,-0.013536691665649414,41.36944017917981
MAT,6,0.007416921846053772,0.04284232126784285,0.503010468490481,0.7562367916107178,0.0,0.17312138053496512,1.8748105349749413,0.06097096702928397,0.5083207207506144,1.146347165107727,1.0706760318171538,-0.012990117073059082,38.43190555967364
MAT,7,0.0077923096770140254,0.04549997151597218,0.5031678836264455,0.7547191977500916,0.0,0.17125965955338376,1.9911112054656426,0.04661061060362914,0.5081548049931801,1.142388939857483,1.0688259633155826,-0.01156759262084961,36.072470863186496
MAT,8,0.009757235223313199,0.056566301236705314,0.503296887250065,0.7535498142242432,0.0,0.17249201297283204,2.4753816867756306,0.013395378895610401,0.5085936108367006,1.1396024227142334,1.0675216263449812,-0.010503292083740234,32.5441050244285
MAT,9,0.006646923730846971,0.038886149321977155,0.502834624265428,0.7525762915611267,0.0,0.1709329364788558,1.7016856291016225,0.08897672026008313,0.5083722026568251,1.137762427330017,1.0666594711200088,-0.010201811790466309,32.015160451955474
MAT,10,0.005427791895205703,0.03146902830836074,0.5026941024611281,0.7517633438110352,0.0,0.17248044046833852,1.3771071233595735,0.16864016135929635,0.5075794081142234,1.1372463703155518,1.0664175403262794,-0.010175228118896484,31.05050705590756
MAT,Pooled,0.008478637926096091,0.14472581917414554,0.502811050388969,0.7561525702476501,0.0,0.05858414089311946,6.333305140924835,2.9827210597328373e-10,0.5088647894753002,1.1461206674575806,1.0705702533965626,-0.013057827949523926,150.8247528076172
